TIME,I_L,J_L,I_R,J_R,i_a,j_a,r_a
0.0,563.5,414.5,540.5,437.5,640.5,361.5,355.4
0.03332886828095483,562.5,414.5,539.5,437.5,640.5,361.5,355.4
0.06665773656190967,560.5,414.5,539.5,437.5,640.5,361.5,355.4
0.0999866048428645,559.5,413.5,538.5,437.5,640.5,361.5,355.4
0.13331547312381933,558.5,412.5,537.5,437.5,640.5,361.5,355.4
0.16664434140477416,557.5,412.5,537.5,437.5,640.5,361.5,355.4
0.199973209685729,556.5,411.5,536.5,437.5,640.5,361.5,355.4
0.23330207796668384,554.5,411.5,536.5,437.5,640.5,361.5,355.4
0.26663094624763867,553.5,410.5,535.5,437.5,640.5,361.5,355.4
0.2999598145285935,552.5,410.5,534.5,437.5,640.5,361.5,355.4
0.3332886828095483,550.5,409.5,534.5,437.5,640.5,361.5,355.4
0.36661755109050315,549.5,409.5,533.5,437.5,640.5,361.5,355.4
0.399946419371458,548.5,408.5,533.5,437.5,640.5,361.5,355.4
0.43327528765241285,547.5,408.5,532.5,437.5,640.5,361.5,355.4
0.4666041559333677,545.5,407.5,531.5,437.5,640.5,361.5,355.4
0.4999330242143225,544.5,407.5,530.5,437.5,640.5,361.5,355.4
0.5332618924952773,542.5,407.5,530.5,437.5,640.5,361.5,355.4
0.5665907607762322,541.5,407.5,530.5,437.5,640.5,361.5,355.4
0.599919629057187,540.5,406.5,529.5,437.5,640.5,361.5,355.4
0.6332484973381418,538.5,406.5,528.5,437.5,640.5,361.5,355.4
0.6665773656190966,537.5,406.5,528.5,437.5,640.5,361.5,355.4
0.6999062339000515,536.5,406.5,527.5,437.5,640.5,361.5,355.4
0.7332351021810063,534.5,406.5,527.5,437.5,640.5,361.5,355.4
0.7665639704619611,533.5,406.5,526.5,437.5,640.5,361.5,355.4
0.799892838742916,532.5,405.5,526.5,437.5,640.5,361.5,355.4
0.8332217070238709,530.5,405.5,526.5,437.5,640.5,361.5,355.4
0.8665505753048257,529.5,405.5,526.5,438.5,640.5,361.5,355.4
0.8998794435857805,528.5,405.5,525.5,438.5,640.5,361.5,355.4
0.9332083118667354,526.5,405.5,524.5,438.5,640.5,361.5,355.4
0.9665371801476902,525.5,406.5,524.5,438.5,640.5,361.5,355.4
0.999866048428645,523.5,406.5,524.5,438.5,640.5,361.5,355.4
1.0331949167095997,522.5,406.5,523.5,438.5,640.5,361.5,355.4
1.0665237849905547,521.5,406.5,523.5,438.5,640.5,361.5,355.4
1.0998526532715094,519.5,406.5,522.5,438.5,640.5,361.5,355.4
1.1331815215524643,518.5,406.5,522.5,438.5,640.5,361.5,355.4
1.1665103898334193,516.5,407.5,522.5,439.5,640.5,361.5,355.4
1.199839258114374,515.5,407.5,521.5,439.5,640.5,361.5,355.4
1.233168126395329,514.5,407.5,521.5,439.5,640.5,361.5,355.4
1.2664969946762836,512.5,408.5,521.5,439.5,640.5,361.5,355.4
1.2998258629572386,511.5,408.5,520.5,440.5,640.5,361.5,355.4
1.3331547312381933,510.5,409.5,520.5,440.5,640.5,361.5,355.4
1.3664835995191482,509.5,409.5,519.5,440.5,640.5,361.5,355.4
1.399812467800103,507.5,410.5,519.5,440.5,640.5,361.5,355.4
1.4331413360810579,506.5,411.5,519.5,440.5,640.5,361.5,355.4
1.4664702043620126,505.5,411.5,518.5,440.5,640.5,361.5,355.4
1.4997990726429675,503.5,412.5,518.5,441.5,640.5,361.5,355.4
1.5331279409239222,502.5,412.5,518.5,441.5,640.5,361.5,355.4
1.5664568092048772,501.5,413.5,518.5,441.5,640.5,361.5,355.4
1.599785677485832,500.5,414.5,517.5,441.5,640.5,361.5,355.4
1.6331145457667868,499.5,415.5,517.5,441.5,640.5,361.5,355.4
1.6664434140477418,498.5,415.5,517.5,441.5,640.5,361.5,355.4
1.6997722823286965,497.5,416.5,517.5,441.5,640.5,361.5,355.4
1.7331011506096514,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.7664300188906061,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.799758887171561,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.8330877554525158,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.8664166237334707,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.8997454920144254,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.9330743602953804,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.966403228576335,496.5,417.5,516.5,442.5,640.5,361.5,355.4
1.99973209685729,496.5,416.5,516.5,442.5,640.5,361.5,355.4
2.0330609651382447,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.0663898334191995,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.0997187017001546,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.1330475699811093,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.166376438262064,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.1997053065430188,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.233034174823974,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.2663630431049286,496.5,417.5,516.5,442.5,640.5,361.5,355.4
2.2996919113858834,495.5,417.5,516.5,442.5,640.5,361.5,355.4
2.3330207796668385,495.5,417.5,516.5,442.5,640.5,361.5,355.4
2.3663496479477932,495.5,417.5,516.5,442.5,640.5,361.5,355.4
2.399678516228748,494.5,418.5,516.5,442.5,640.5,361.5,355.4
2.4330073845097027,494.5,418.5,515.5,442.5,640.5,361.5,355.4
2.466336252790658,493.5,419.5,515.5,442.5,640.5,361.5,355.4
2.4996651210716125,492.5,419.5,515.5,442.5,640.5,361.5,355.4
2.5329939893525673,492.5,420.5,515.5,443.5,640.5,361.5,355.4
2.566322857633522,491.5,420.5,514.5,443.5,640.5,361.5,355.4
2.599651725914477,490.5,421.5,514.5,443.5,640.5,361.5,355.4
2.632980594195432,490.5,421.5,514.5,443.5,640.5,361.5,355.4
2.6663094624763866,489.5,422.5,514.5,443.5,640.5,361.5,355.4
2.6996383307573413,488.5,423.5,513.5,443.5,640.5,361.5,355.4
2.7329671990382964,487.5,424.5,513.5,443.5,640.5,361.5,355.4
2.766296067319251,486.5,425.5,513.5,443.5,640.5,361.5,355.4
2.799624935600206,486.5,426.5,512.5,444.5,640.5,361.5,355.4
2.832953803881161,485.5,427.5,512.5,444.5,640.5,361.5,355.4
2.8662826721621157,485.5,427.5,512.5,444.5,640.5,361.5,355.4
2.8996115404430705,484.5,428.5,512.5,444.5,640.5,361.5,355.4
2.932940408724025,484.5,429.5,512.5,445.5,640.5,361.5,355.4
2.9662692770049803,483.5,430.5,511.5,445.5,640.5,361.5,355.4
2.999598145285935,482.5,431.5,511.5,445.5,640.5,361.5,355.4
3.0329270135668898,482.5,432.5,511.5,445.5,640.5,361.5,355.4
3.0662558818478445,482.5,433.5,511.5,446.5,640.5,361.5,355.4
3.0995847501287996,481.5,434.5,511.5,446.5,640.5,361.5,355.4
3.1329136184097544,481.5,435.5,511.5,446.5,640.5,361.5,355.4
3.166242486690709,480.5,436.5,511.5,447.5,640.5,361.5,355.4
3.199571354971664,480.5,437.5,511.5,447.5,640.5,361.5,355.4
3.232900223252619,479.5,438.5,510.5,447.5,640.5,361.5,355.4
3.2662290915335737,479.5,439.5,510.5,448.5,640.5,361.5,355.4
3.2995579598145284,479.5,440.5,510.5,448.5,640.5,361.5,355.4
3.3328868280954835,479.5,441.5,510.5,448.5,640.5,361.5,355.4
3.3662156963764382,478.5,442.5,510.5,448.5,640.5,361.5,355.4
3.399544564657393,478.5,443.5,510.5,448.5,640.5,361.5,355.4
3.4328734329383477,478.5,444.5,510.5,449.5,640.5,361.5,355.4
3.466202301219303,477.5,446.5,510.5,449.5,640.5,361.5,355.4
3.4995311695002576,477.5,447.5,510.5,449.5,640.5,361.5,355.4
3.5328600377812123,477.5,448.5,510.5,449.5,640.5,361.5,355.4
3.566188906062167,477.5,449.5,509.5,449.5,640.5,361.5,355.4
3.599517774343122,477.5,450.5,509.5,450.5,640.5,361.5,355.4
3.632846642624077,477.5,451.5,509.5,450.5,640.5,361.5,355.4
3.6661755109050316,477.5,453.5,509.5,450.5,640.5,361.5,355.4
3.6995043791859863,477.5,454.5,509.5,450.5,640.5,361.5,355.4
3.7328332474669415,477.5,455.5,509.5,451.5,640.5,361.5,355.4
3.766162115747896,477.5,456.5,510.5,451.5,640.5,361.5,355.4
3.799490984028851,478.5,457.5,509.5,451.5,640.5,361.5,355.4
3.8328198523098056,478.5,458.5,509.5,451.5,640.5,361.5,355.4
3.8661487205907608,478.5,459.5,509.5,451.5,640.5,361.5,355.4
3.8994775888717155,478.5,460.5,509.5,451.5,640.5,361.5,355.4
3.93280645715267,478.5,461.5,509.5,452.5,640.5,361.5,355.4
3.9661353254336253,479.5,463.5,509.5,452.5,640.5,361.5,355.4
3.99946419371458,479.5,464.5,509.5,452.5,640.5,361.5,355.4
4.032793061995535,480.5,465.5,510.5,453.5,640.5,361.5,355.4
4.0661219302764895,480.5,466.5,510.5,453.5,640.5,361.5,355.4
4.099450798557444,481.5,467.5,510.5,453.5,640.5,361.5,355.4
4.132779666838399,481.5,468.5,510.5,453.5,640.5,361.5,355.4
4.1661085351193545,482.5,469.5,511.5,453.5,640.5,361.5,355.4
4.199437403400309,483.5,470.5,511.5,453.5,640.5,361.5,355.4
4.232766271681264,483.5,471.5,511.5,453.5,640.5,361.5,355.4
4.266095139962219,484.5,472.5,511.5,454.5,640.5,361.5,355.4
4.299424008243173,484.5,472.5,511.5,454.5,640.5,361.5,355.4
4.332752876524128,485.5,474.5,512.5,454.5,640.5,361.5,355.4
4.366081744805083,486.5,474.5,512.5,454.5,640.5,361.5,355.4
4.3994106130860375,487.5,475.5,512.5,454.5,640.5,361.5,355.4
4.432739481366993,488.5,476.5,512.5,454.5,640.5,361.5,355.4
4.466068349647948,489.5,477.5,512.5,454.5,640.5,361.5,355.4
4.499397217928903,489.5,478.5,513.5,455.5,640.5,361.5,355.4
4.532726086209857,490.5,478.5,513.5,455.5,640.5,361.5,355.4
4.566054954490812,491.5,479.5,513.5,455.5,640.5,361.5,355.4
4.599383822771767,492.5,480.5,513.5,455.5,640.5,361.5,355.4
4.632712691052721,493.5,481.5,513.5,455.5,640.5,361.5,355.4
4.666041559333677,494.5,481.5,513.5,455.5,640.5,361.5,355.4
4.699370427614632,495.5,482.5,514.5,455.5,640.5,361.5,355.4
4.7326992958955865,496.5,483.5,514.5,455.5,640.5,361.5,355.4
4.766028164176541,497.5,483.5,514.5,455.5,640.5,361.5,355.4
4.799357032457496,498.5,484.5,514.5,456.5,640.5,361.5,355.4
4.832685900738451,499.5,485.5,515.5,456.5,640.5,361.5,355.4
4.866014769019405,500.5,485.5,515.5,456.5,640.5,361.5,355.4
4.89934363730036,501.5,485.5,515.5,456.5,640.5,361.5,355.4
4.932672505581316,502.5,486.5,515.5,456.5,640.5,361.5,355.4
4.96600137386227,503.5,486.5,515.5,456.5,640.5,361.5,355.4
4.999330242143225,505.5,487.5,516.5,456.5,640.5,361.5,355.4
5.03265911042418,506.5,487.5,516.5,456.5,640.5,361.5,355.4
5.0659879787051345,507.5,487.5,516.5,456.5,640.5,361.5,355.4
5.099316846986089,508.5,488.5,516.5,456.5,640.5,361.5,355.4
5.132645715267044,509.5,488.5,516.5,456.5,640.5,361.5,355.4
5.1659745835479995,510.5,488.5,517.5,456.5,640.5,361.5,355.4
5.199303451828954,511.5,488.5,516.5,456.5,640.5,361.5,355.4
5.232632320109909,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.265961188390864,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.299290056671818,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.332618924952773,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.365947793233728,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.3992766615146826,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.432605529795638,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.465934398076593,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.499263266357548,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.532592134638502,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.565921002919457,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.599249871200412,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.6325787394813664,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.665907607762322,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.699236476043277,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.7325653443242315,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.765894212605186,510.5,488.5,516.5,456.5,640.5,361.5,355.4
5.799223080886141,511.5,488.5,516.5,456.5,640.5,361.5,355.4
5.832551949167096,511.5,488.5,517.5,456.5,640.5,361.5,355.4
5.86588081744805,511.5,488.5,517.5,456.5,640.5,361.5,355.4
5.899209685729005,511.5,488.5,517.5,456.5,640.5,361.5,355.4
5.932538554009961,511.5,488.5,517.5,456.5,640.5,361.5,355.4
5.965867422290915,511.5,489.5,518.5,457.5,640.5,361.5,355.4
5.99919629057187,511.5,489.5,518.5,457.5,640.5,361.5,355.4
6.032525158852825,511.5,489.5,519.5,457.5,640.5,361.5,355.4
6.0658540271337795,511.5,489.5,519.5,457.5,640.5,361.5,355.4
6.099182895414734,511.5,489.5,520.5,458.5,640.5,361.5,355.4
6.132511763695689,511.5,489.5,521.5,458.5,640.5,361.5,355.4
6.165840631976645,511.5,489.5,521.5,459.5,640.5,361.5,355.4
6.199169500257599,511.5,489.5,522.5,459.5,640.5,361.5,355.4
6.232498368538554,511.5,490.5,523.5,459.5,640.5,361.5,355.4
6.265827236819509,511.5,490.5,523.5,460.5,640.5,361.5,355.4
6.299156105100463,511.5,490.5,524.5,460.5,640.5,361.5,355.4
6.332484973381418,511.5,490.5,525.5,460.5,640.5,361.5,355.4
6.365813841662373,511.5,490.5,526.5,461.5,640.5,361.5,355.4
6.399142709943328,511.5,490.5,526.5,461.5,640.5,361.5,355.4
6.432471578224283,511.5,490.5,527.5,462.5,640.5,361.5,355.4
6.465800446505238,511.5,490.5,527.5,462.5,640.5,361.5,355.4
6.499129314786193,511.5,491.5,528.5,463.5,640.5,361.5,355.4
6.532458183067147,511.5,491.5,529.5,463.5,640.5,361.5,355.4
6.565787051348102,511.5,491.5,530.5,464.5,640.5,361.5,355.4
6.599115919629057,511.5,491.5,530.5,464.5,640.5,361.5,355.4
6.6324447879100115,511.5,491.5,531.5,465.5,640.5,361.5,355.4
6.665773656190967,511.5,491.5,532.5,465.5,640.5,361.5,355.4
6.699102524471922,511.5,491.5,532.5,466.5,640.5,361.5,355.4
6.7324313927528765,511.5,491.5,533.5,467.5,640.5,361.5,355.4
6.765760261033831,510.5,491.5,533.5,468.5,640.5,361.5,355.4
6.799089129314786,510.5,491.5,534.5,469.5,640.5,361.5,355.4
6.832417997595741,510.5,491.5,534.5,470.5,640.5,361.5,355.4
6.865746865876695,510.5,491.5,535.5,470.5,640.5,361.5,355.4
6.89907573415765,510.5,491.5,535.5,471.5,640.5,361.5,355.4
6.932404602438606,510.5,492.5,536.5,472.5,640.5,361.5,355.4
6.96573347071956,510.5,492.5,536.5,472.5,640.5,361.5,355.4
6.999062339000515,510.5,492.5,536.5,473.5,640.5,361.5,355.4
7.03239120728147,510.5,492.5,537.5,474.5,640.5,361.5,355.4
7.0657200755624245,510.5,492.5,537.5,475.5,640.5,361.5,355.4
7.099048943843379,509.5,492.5,538.5,476.5,640.5,361.5,355.4
7.132377812124334,509.5,492.5,538.5,477.5,640.5,361.5,355.4
7.16570668040529,509.5,492.5,538.5,478.5,640.5,361.5,355.4
7.199035548686244,509.5,492.5,538.5,478.5,640.5,361.5,355.4
7.232364416967199,509.5,493.5,538.5,479.5,640.5,361.5,355.4
7.265693285248154,509.5,493.5,539.5,480.5,640.5,361.5,355.4
7.299022153529108,508.5,492.5,539.5,481.5,640.5,361.5,355.4
7.332351021810063,508.5,493.5,539.5,482.5,640.5,361.5,355.4
7.365679890091018,508.5,493.5,539.5,483.5,640.5,361.5,355.4
7.399008758371973,508.5,493.5,539.5,484.5,640.5,361.5,355.4
7.432337626652928,508.5,493.5,539.5,485.5,640.5,361.5,355.4
7.465666494933883,508.5,493.5,539.5,486.5,640.5,361.5,355.4
7.498995363214838,508.5,493.5,539.5,487.5,640.5,361.5,355.4
7.532324231495792,507.5,493.5,539.5,488.5,640.5,361.5,355.4
7.565653099776747,507.5,493.5,539.5,489.5,640.5,361.5,355.4
7.598981968057702,507.5,493.5,539.5,490.5,640.5,361.5,355.4
7.6323108363386565,507.5,494.5,539.5,491.5,640.5,361.5,355.4
7.665639704619611,506.5,494.5,539.5,492.5,640.5,361.5,355.4
7.698968572900567,506.5,494.5,539.5,493.5,640.5,361.5,355.4
7.7322974411815215,506.5,494.5,538.5,494.5,640.5,361.5,355.4
7.765626309462476,506.5,494.5,538.5,495.5,640.5,361.5,355.4
7.798955177743431,506.5,494.5,538.5,496.5,640.5,361.5,355.4
7.832284046024386,505.5,494.5,538.5,496.5,640.5,361.5,355.4
7.86561291430534,505.5,494.5,537.5,497.5,640.5,361.5,355.4
7.898941782586295,505.5,493.5,537.5,498.5,640.5,361.5,355.4
7.932270650867251,504.5,494.5,536.5,499.5,640.5,361.5,355.4
7.965599519148205,504.5,494.5,536.5,500.5,640.5,361.5,355.4
7.99892838742916,504.5,494.5,536.5,501.5,640.5,361.5,355.4
8.032257255710114,504.5,494.5,535.5,502.5,640.5,361.5,355.4
8.06558612399107,504.5,494.5,535.5,503.5,640.5,361.5,355.4
8.098914992272025,503.5,494.5,534.5,504.5,640.5,361.5,355.4
8.132243860552979,503.5,494.5,533.5,505.5,640.5,361.5,355.4
8.165572728833935,503.5,494.5,533.5,506.5,640.5,361.5,355.4
8.198901597114888,502.5,494.5,532.5,506.5,640.5,361.5,355.4
8.232230465395844,502.5,494.5,531.5,507.5,640.5,361.5,355.4
8.265559333676798,502.5,494.5,531.5,508.5,640.5,361.5,355.4
8.298888201957753,501.5,494.5,530.5,508.5,640.5,361.5,355.4
8.332217070238709,501.5,494.5,529.5,509.5,640.5,361.5,355.4
8.365545938519663,501.5,493.5,529.5,510.5,640.5,361.5,355.4
8.398874806800618,500.5,493.5,528.5,511.5,640.5,361.5,355.4
8.432203675081572,500.5,493.5,527.5,511.5,640.5,361.5,355.4
8.465532543362528,500.5,493.5,526.5,512.5,640.5,361.5,355.4
8.498861411643482,500.5,493.5,525.5,513.5,640.5,361.5,355.4
8.532190279924437,500.5,493.5,525.5,513.5,640.5,361.5,355.4
8.565519148205393,499.5,493.5,524.5,514.5,640.5,361.5,355.4
8.598848016486347,499.5,493.5,523.5,515.5,640.5,361.5,355.4
8.632176884767302,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.665505753048256,499.5,492.5,522.5,515.5,640.5,361.5,355.4
8.698834621329212,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.732163489610166,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.765492357891121,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.798821226172075,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.83215009445303,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.865478962733986,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.89880783101494,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.932136699295896,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.96546556757685,499.5,493.5,522.5,515.5,640.5,361.5,355.4
8.998794435857805,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.032123304138759,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.065452172419715,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.09878104070067,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.132109908981624,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.16543877726258,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.198767645543533,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.232096513824489,499.5,493.5,522.5,515.5,640.5,361.5,355.4
9.265425382105443,498.5,493.5,522.5,515.5,640.5,361.5,355.4
9.298754250386398,498.5,493.5,522.5,515.5,640.5,361.5,355.4
9.332083118667354,497.5,493.5,522.5,515.5,640.5,361.5,355.4
9.365411986948308,497.5,494.5,521.5,516.5,640.5,361.5,355.4
9.398740855229264,496.5,494.5,521.5,515.5,640.5,361.5,355.4
9.432069723510217,496.5,495.5,521.5,516.5,640.5,361.5,355.4
9.465398591791173,495.5,495.5,520.5,515.5,640.5,361.5,355.4
9.498727460072127,494.5,496.5,520.5,516.5,640.5,361.5,355.4
9.532056328353082,493.5,497.5,520.5,515.5,640.5,361.5,355.4
9.565385196634038,493.5,497.5,519.5,516.5,640.5,361.5,355.4
9.598714064914992,492.5,498.5,519.5,516.5,640.5,361.5,355.4
9.632042933195947,492.5,498.5,519.5,516.5,640.5,361.5,355.4
9.665371801476901,491.5,499.5,519.5,516.5,640.5,361.5,355.4
9.698700669757857,490.5,500.5,518.5,516.5,640.5,361.5,355.4
9.73202953803881,490.5,501.5,518.5,516.5,640.5,361.5,355.4
9.765358406319766,489.5,502.5,518.5,516.5,640.5,361.5,355.4
9.79868727460072,488.5,503.5,517.5,517.5,640.5,361.5,355.4
9.832016142881676,487.5,504.5,517.5,517.5,640.5,361.5,355.4
9.865345011162631,487.5,505.5,517.5,517.5,640.5,361.5,355.4
9.898673879443585,487.5,505.5,517.5,517.5,640.5,361.5,355.4
9.93200274772454,486.5,506.5,516.5,517.5,640.5,361.5,355.4
9.965331616005495,486.5,507.5,516.5,518.5,640.5,361.5,355.4
9.99866048428645,485.5,508.5,516.5,518.5,640.5,361.5,355.4
10.031989352567404,485.5,509.5,516.5,518.5,640.5,361.5,355.4
10.06531822084836,484.5,510.5,515.5,518.5,640.5,361.5,355.4
10.098647089129315,484.5,511.5,515.5,518.5,640.5,361.5,355.4
10.131975957410269,484.5,512.5,515.5,518.5,640.5,361.5,355.4
10.165304825691225,483.5,513.5,515.5,518.5,640.5,361.5,355.4
10.198633693972178,483.5,514.5,515.5,518.5,640.5,361.5,355.4
10.231962562253134,482.5,515.5,514.5,519.5,640.5,361.5,355.4
10.265291430534088,482.5,516.5,515.5,519.5,640.5,361.5,355.4
10.298620298815043,482.5,518.5,514.5,519.5,640.5,361.5,355.4
10.331949167095999,482.5,519.5,514.5,519.5,640.5,361.5,355.4
10.365278035376953,482.5,519.5,514.5,519.5,640.5,361.5,355.4
10.398606903657909,482.5,521.5,514.5,519.5,640.5,361.5,355.4
10.431935771938862,481.5,522.5,514.5,520.5,640.5,361.5,355.4
10.465264640219818,481.5,523.5,514.5,520.5,640.5,361.5,355.4
10.498593508500772,481.5,524.5,514.5,520.5,640.5,361.5,355.4
10.531922376781727,481.5,525.5,513.5,520.5,640.5,361.5,355.4
10.565251245062683,482.5,526.5,513.5,521.5,640.5,361.5,355.4
10.598580113343637,482.5,527.5,513.5,521.5,640.5,361.5,355.4
10.631908981624592,482.5,528.5,513.5,521.5,640.5,361.5,355.4
10.665237849905546,482.5,529.5,513.5,521.5,640.5,361.5,355.4
10.698566718186502,482.5,530.5,513.5,521.5,640.5,361.5,355.4
10.731895586467456,482.5,531.5,513.5,521.5,640.5,361.5,355.4
10.765224454748411,482.5,532.5,513.5,522.5,640.5,361.5,355.4
10.798553323029365,482.5,533.5,513.5,522.5,640.5,361.5,355.4
10.83188219131032,483.5,534.5,513.5,522.5,640.5,361.5,355.4
10.865211059591276,483.5,535.5,513.5,522.5,640.5,361.5,355.4
10.89853992787223,484.5,537.5,513.5,522.5,640.5,361.5,355.4
10.931868796153186,484.5,537.5,513.5,522.5,640.5,361.5,355.4
10.96519766443414,485.5,539.5,513.5,523.5,640.5,361.5,355.4
10.998526532715095,485.5,540.5,513.5,523.5,640.5,361.5,355.4
11.031855400996049,486.5,541.5,513.5,523.5,640.5,361.5,355.4
11.065184269277005,486.5,542.5,513.5,523.5,640.5,361.5,355.4
11.09851313755796,487.5,543.5,513.5,523.5,640.5,361.5,355.4
11.131842005838914,487.5,543.5,513.5,523.5,640.5,361.5,355.4
11.16517087411987,488.5,544.5,513.5,524.5,640.5,361.5,355.4
11.198499742400823,489.5,545.5,513.5,524.5,640.5,361.5,355.4
11.231828610681779,490.5,546.5,513.5,524.5,640.5,361.5,355.4
11.265157478962733,490.5,547.5,513.5,524.5,640.5,361.5,355.4
11.298486347243688,491.5,548.5,513.5,524.5,640.5,361.5,355.4
11.331815215524644,491.5,548.5,513.5,524.5,640.5,361.5,355.4
11.365144083805598,492.5,549.5,514.5,524.5,640.5,361.5,355.4
11.398472952086554,493.5,550.5,514.5,525.5,640.5,361.5,355.4
11.431801820367507,494.5,551.5,514.5,525.5,640.5,361.5,355.4
11.465130688648463,495.5,551.5,514.5,525.5,640.5,361.5,355.4
11.498459556929417,496.5,552.5,514.5,525.5,640.5,361.5,355.4
11.531788425210372,496.5,552.5,514.5,525.5,640.5,361.5,355.4
11.565117293491328,497.5,553.5,514.5,525.5,640.5,361.5,355.4
11.598446161772282,498.5,554.5,514.5,525.5,640.5,361.5,355.4
11.631775030053237,499.5,554.5,514.5,525.5,640.5,361.5,355.4
11.665103898334191,500.5,555.5,515.5,525.5,640.5,361.5,355.4
11.698432766615147,501.5,555.5,515.5,526.5,640.5,361.5,355.4
11.7317616348961,503.5,556.5,515.5,526.5,640.5,361.5,355.4
11.765090503177056,504.5,556.5,515.5,526.5,640.5,361.5,355.4
11.79841937145801,505.5,557.5,515.5,526.5,640.5,361.5,355.4
11.831748239738966,506.5,557.5,515.5,526.5,640.5,361.5,355.4
11.865077108019921,507.5,557.5,516.5,526.5,640.5,361.5,355.4
11.898405976300875,508.5,558.5,516.5,526.5,640.5,361.5,355.4
11.93173484458183,509.5,558.5,516.5,526.5,640.5,361.5,355.4
11.965063712862785,510.5,558.5,516.5,526.5,640.5,361.5,355.4
11.99839258114374,511.5,558.5,516.5,526.5,640.5,361.5,355.4
12.031721449424694,513.5,559.5,516.5,526.5,640.5,361.5,355.4
12.06505031770565,514.5,559.5,516.5,526.5,640.5,361.5,355.4
12.098379185986605,514.5,559.5,516.5,526.5,640.5,361.5,355.4
12.131708054267559,514.5,559.5,516.5,526.5,640.5,361.5,355.4
12.165036922548515,514.5,559.5,516.5,526.5,640.5,361.5,355.4
12.198365790829468,514.5,559.5,516.5,526.5,640.5,361.5,355.4
12.231694659110424,514.5,559.5,516.5,526.5,640.5,361.5,355.4
12.265023527391378,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.298352395672334,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.33168126395329,514.5,558.5,517.5,526.5,640.5,361.5,355.4
12.365010132234243,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.398339000515199,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.431667868796152,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.464996737077108,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.498325605358062,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.531654473639017,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.564983341919971,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.598312210200927,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.631641078481882,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.664969946762836,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.698298815043792,514.5,559.5,516.5,526.5,640.5,361.5,355.4
12.731627683324746,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.764956551605701,514.5,559.5,517.5,526.5,640.5,361.5,355.4
12.798285419886655,514.5,559.5,517.5,526.5,640.5,361.5,355.4
