TIME,I_L,J_L,I_R,J_R,i_a,j_a,r_a
0.0,512.5,361.5,487.5,381.5,639.5,362.5,352.2
0.0333298265042451,512.0,361.0,488.0,382.0,639.5,362.5,352.2
0.0666596530084902,510.5,360.5,486.5,381.5,639.5,362.5,352.2
0.0999894795127353,510.0,360.0,486.0,382.0,639.5,362.5,352.2
0.1333193060169804,508.5,359.5,484.5,381.5,639.5,362.5,352.2
0.1666491325212255,508.0,359.0,485.0,382.0,639.5,362.5,352.2
0.1999789590254707,506.5,358.5,483.5,381.5,639.5,362.5,352.2
0.2333087855297158,506.0,359.0,484.0,382.0,639.5,362.5,352.2
0.2666386120339609,503.5,357.5,482.5,381.5,639.5,362.5,352.2
0.299968438538206,503.0,358.0,483.0,382.0,639.5,362.5,352.2
0.3332982650424511,501.5,356.5,481.5,381.5,639.5,362.5,352.2
0.3666280915466962,501.0,357.0,482.0,383.0,639.5,362.5,352.2
0.3999579180509414,499.5,356.5,481.5,382.5,639.5,362.5,352.2
0.4332877445551865,499.0,357.0,481.0,383.0,639.5,362.5,352.2
0.4666175710594316,497.5,355.5,479.5,382.5,639.5,362.5,352.2
0.4999473975636767,496.0,356.0,479.0,383.0,639.5,362.5,352.2
0.5332772240679218,494.5,355.5,478.5,382.5,639.5,362.5,352.2
0.566607050572167,494.0,356.0,478.0,384.0,639.5,362.5,352.2
0.5999368770764121,492.5,355.5,477.5,383.5,639.5,362.5,352.2
0.6332667035806572,491.0,356.0,477.0,384.0,639.5,362.5,352.2
0.6665965300849023,489.5,355.5,475.5,384.5,639.5,362.5,352.2
0.6999263565891474,489.0,356.0,476.0,385.0,639.5,362.5,352.2
0.7332561830933925,486.5,355.5,474.5,384.5,639.5,362.5,352.2
0.7665860095976377,486.0,356.0,474.0,385.0,639.5,362.5,352.2
0.7999158361018828,484.5,355.5,473.5,385.5,639.5,362.5,352.2
0.8332456626061279,483.0,356.0,473.0,386.0,639.5,362.5,352.2
0.866575489110373,481.5,355.5,472.5,385.5,639.5,362.5,352.2
0.8999053156146181,481.0,356.0,472.0,387.0,639.5,362.5,352.2
0.9332351421188632,479.5,355.5,470.5,386.5,639.5,362.5,352.2
0.9665649686231084,478.0,356.0,471.0,387.0,639.5,362.5,352.2
0.9998947951273536,476.5,356.5,469.5,387.5,639.5,362.5,352.2
1.0332246216315986,475.0,357.0,470.0,388.0,639.5,362.5,352.2
1.0665544481358435,473.5,356.5,469.5,388.5,639.5,362.5,352.2
1.0998842746400888,473.0,357.0,469.0,389.0,639.5,362.5,352.2
1.133214101144334,471.5,356.5,467.5,388.5,639.5,362.5,352.2
1.166543927648579,470.0,358.0,468.0,390.0,639.5,362.5,352.2
1.1998737541528242,468.5,357.5,466.5,389.5,639.5,362.5,352.2
1.2332035806570691,468.0,359.0,467.0,391.0,639.5,362.5,352.2
1.2665334071613144,465.5,359.5,465.5,390.5,639.5,362.5,352.2
1.2998632336655596,465.0,360.0,466.0,392.0,639.5,362.5,352.2
1.3331930601698043,463.5,360.5,464.5,392.5,639.5,362.5,352.2
1.3665228866740498,463.0,362.0,464.0,393.0,639.5,362.5,352.2
1.3998527131782947,460.5,361.5,463.5,393.5,639.5,362.5,352.2
1.43318253968254,460.0,363.0,463.0,395.0,639.5,362.5,352.2
1.466512366186785,458.5,363.5,462.5,394.5,639.5,362.5,352.2
1.49984219269103,459.0,364.0,462.0,396.0,639.5,362.5,352.2
1.5331720191952751,457.5,364.5,461.5,396.5,639.5,362.5,352.2
1.5665018456995203,456.0,366.0,461.0,397.0,639.5,362.5,352.2
1.5998316722037655,454.5,365.5,460.5,397.5,639.5,362.5,352.2
1.6331614987080103,454.0,367.0,461.0,398.0,639.5,362.5,352.2
1.6664913252122555,452.5,367.5,459.5,398.5,639.5,362.5,352.2
1.6998211517165007,451.0,368.0,460.0,399.0,639.5,362.5,352.2
1.733150978220746,450.5,368.5,459.5,399.5,639.5,362.5,352.2
1.7664808047249911,449.0,370.0,459.0,400.0,639.5,362.5,352.2
1.799810631229236,447.5,370.5,458.5,400.5,639.5,362.5,352.2
1.833140457733481,447.0,372.0,459.0,402.0,639.5,362.5,352.2
1.8664702842377263,445.5,372.5,457.5,401.5,639.5,362.5,352.2
1.8998001107419715,445.0,374.0,458.0,403.0,639.5,362.5,352.2
1.9331299372462163,443.5,373.5,457.5,402.5,639.5,362.5,352.2
1.9664597637504613,443.0,376.0,457.0,404.0,639.5,362.5,352.2
1.999789590254707,441.5,375.5,456.5,404.5,639.5,362.5,352.2
2.033119416758952,442.0,377.0,457.0,405.0,639.5,362.5,352.2
2.066449243263197,440.5,376.5,456.5,404.5,639.5,362.5,352.2
2.0997790697674423,441.0,377.0,457.0,405.0,639.5,362.5,352.2
2.133108896271687,440.5,377.5,456.5,404.5,639.5,362.5,352.2
2.1664387227759323,440.0,378.0,457.0,405.0,639.5,362.5,352.2
2.199768549280177,439.5,377.5,455.5,405.5,639.5,362.5,352.2
2.2330983757844227,439.0,379.0,456.0,406.0,639.5,362.5,352.2
2.266428202288668,437.5,379.5,455.5,405.5,639.5,362.5,352.2
2.2997580287929127,437.0,380.0,456.0,407.0,639.5,362.5,352.2
2.333087855297158,436.5,380.5,454.5,406.5,639.5,362.5,352.2
2.366417681801403,436.0,382.0,455.0,407.0,639.5,362.5,352.2
2.3997475083056483,434.5,381.5,454.5,406.5,639.5,362.5,352.2
2.433077334809893,435.0,383.0,455.0,408.0,639.5,362.5,352.2
2.4664071613141383,433.5,383.5,454.5,407.5,639.5,362.5,352.2
2.4997369878183835,433.0,384.0,455.0,408.0,639.5,362.5,352.2
2.5330668143226287,432.5,384.5,454.5,407.5,639.5,362.5,352.2
2.566396640826874,432.0,386.0,455.0,409.0,639.5,362.5,352.2
2.599726467331119,430.5,386.5,453.5,408.5,639.5,362.5,352.2
2.633056293835364,431.0,388.0,454.0,409.0,639.5,362.5,352.2
2.666386120339609,429.5,387.5,453.5,409.5,639.5,362.5,352.2
2.6997159468438543,429.0,389.0,454.0,410.0,639.5,362.5,352.2
2.7330457733480995,428.5,389.5,453.5,409.5,639.5,362.5,352.2
2.7663755998523443,428.0,391.0,454.0,410.0,639.5,362.5,352.2
2.799705426356589,426.5,391.5,452.5,410.5,639.5,362.5,352.2
2.8330352528608347,427.0,393.0,454.0,411.0,639.5,362.5,352.2
2.86636507936508,425.5,393.5,452.5,410.5,639.5,362.5,352.2
2.899694905869325,426.0,395.0,453.0,411.0,639.5,362.5,352.2
2.93302473237357,424.5,394.5,452.5,411.5,639.5,362.5,352.2
2.966354558877815,425.0,397.0,453.0,412.0,639.5,362.5,352.2
2.9996843853820603,424.5,396.5,452.5,411.5,639.5,362.5,352.2
3.033014211886305,424.0,398.0,453.0,412.0,639.5,362.5,352.2
3.0663440383905507,423.5,398.5,452.5,412.5,639.5,362.5,352.2
3.0996738648947955,423.0,400.0,453.0,413.0,639.5,362.5,352.2
3.1330036913990407,422.5,400.5,452.5,412.5,639.5,362.5,352.2
3.166333517903286,423.0,402.0,452.0,413.0,639.5,362.5,352.2
3.199663344407531,421.5,402.5,452.5,412.5,639.5,362.5,352.2
3.232993170911776,422.0,404.0,452.0,414.0,639.5,362.5,352.2
3.266322997416021,421.5,404.5,451.5,413.5,639.5,362.5,352.2
3.2996528239202663,421.0,406.0,452.0,414.0,639.5,362.5,352.2
3.3329826504245115,420.5,406.5,451.5,414.5,639.5,362.5,352.2
3.3663124769287567,421.0,408.0,452.0,415.0,639.5,362.5,352.2
3.399642303433001,420.5,408.5,451.5,414.5,639.5,362.5,352.2
3.4329721299372467,421.0,410.0,452.0,415.0,639.5,362.5,352.2
3.466301956441492,419.5,410.5,451.5,414.5,639.5,362.5,352.2
3.499631782945737,420.0,412.0,452.0,415.0,639.5,362.5,352.2
3.5329616094499823,419.5,412.5,451.5,415.5,639.5,362.5,352.2
3.566291435954227,420.0,414.0,452.0,416.0,639.5,362.5,352.2
3.599621262458472,419.5,414.5,451.5,415.5,639.5,362.5,352.2
3.6329510889627175,420.0,416.0,452.0,417.0,639.5,362.5,352.2
3.666280915466962,419.5,416.5,451.5,416.5,639.5,362.5,352.2
3.699610741971208,420.0,418.0,452.0,417.0,639.5,362.5,352.2
3.7329405684754526,419.5,418.5,451.5,416.5,639.5,362.5,352.2
3.766270394979698,420.0,420.0,452.0,418.0,639.5,362.5,352.2
3.799600221483943,419.5,420.5,451.5,417.5,639.5,362.5,352.2
3.832930047988188,420.0,422.0,452.0,418.0,639.5,362.5,352.2
3.866259874492433,419.5,422.5,451.5,417.5,639.5,362.5,352.2
3.8995897009966782,420.0,424.0,452.0,418.0,639.5,362.5,352.2
3.932919527500923,419.5,424.5,451.5,418.5,639.5,362.5,352.2
3.9662493540051686,421.0,426.0,452.0,419.0,639.5,362.5,352.2
3.999579180509414,420.5,426.5,451.5,418.5,639.5,362.5,352.2
4.032909007013659,421.0,428.0,452.0,419.0,639.5,362.5,352.2
4.066238833517904,420.5,428.5,451.5,418.5,639.5,362.5,352.2
4.099568660022149,422.0,430.0,452.0,420.0,639.5,362.5,352.2
4.132898486526394,421.5,430.5,451.5,419.5,639.5,362.5,352.2
4.166228313030639,422.0,432.0,452.0,420.0,639.5,362.5,352.2
4.199558139534885,422.5,432.5,451.5,420.5,639.5,362.5,352.2
4.232887966039129,423.0,434.0,452.0,421.0,639.5,362.5,352.2
4.266217792543374,422.5,434.5,451.5,420.5,639.5,362.5,352.2
4.29954761904762,424.0,436.0,452.0,421.0,639.5,362.5,352.2
4.332877445551865,423.5,436.5,451.5,420.5,639.5,362.5,352.2
4.36620727205611,424.0,437.0,452.0,421.0,639.5,362.5,352.2
4.399537098560355,424.5,437.5,451.5,421.5,639.5,362.5,352.2
4.4328669250646,425.0,439.0,452.0,422.0,639.5,362.5,352.2
4.466196751568845,425.5,439.5,452.5,421.5,639.5,362.5,352.2
4.49952657807309,426.0,441.0,452.0,422.0,639.5,362.5,352.2
4.532856404577336,426.5,440.5,451.5,421.5,639.5,362.5,352.2
4.566186231081581,427.0,442.0,453.0,423.0,639.5,362.5,352.2
4.599516057585825,427.5,442.5,452.5,422.5,639.5,362.5,352.2
4.632845884090071,429.0,444.0,453.0,423.0,639.5,362.5,352.2
4.666175710594316,428.5,444.5,452.5,422.5,639.5,362.5,352.2
4.6995055370985614,430.0,446.0,453.0,423.0,639.5,362.5,352.2
4.732835363602806,429.5,445.5,452.5,423.5,639.5,362.5,352.2
4.766165190107051,431.0,447.0,453.0,424.0,639.5,362.5,352.2
4.799495016611297,431.5,446.5,452.5,423.5,639.5,362.5,352.2
4.832824843115541,432.0,448.0,454.0,424.0,639.5,362.5,352.2
4.866154669619787,432.5,448.5,452.5,423.5,639.5,362.5,352.2
4.899484496124032,434.0,449.0,454.0,424.0,639.5,362.5,352.2
4.932814322628277,434.5,449.5,453.5,423.5,639.5,362.5,352.2
4.966144149132522,435.0,450.0,454.0,424.0,639.5,362.5,352.2
4.999473975636767,435.5,450.5,453.5,423.5,639.5,362.5,352.2
5.032803802141013,437.0,452.0,454.0,425.0,639.5,362.5,352.2
5.066133628645257,436.5,451.5,453.5,424.5,639.5,362.5,352.2
5.099463455149502,437.0,452.0,454.0,425.0,639.5,362.5,352.2
5.132793281653748,436.5,451.5,453.5,424.5,639.5,362.5,352.2
5.166123108157993,438.0,452.0,454.0,425.0,639.5,362.5,352.2
5.199452934662238,437.5,452.5,453.5,424.5,639.5,362.5,352.2
5.232782761166483,439.0,453.0,454.0,425.0,639.5,362.5,352.2
5.266112587670728,438.5,453.5,453.5,424.5,639.5,362.5,352.2
5.299442414174973,439.0,454.0,454.0,425.0,639.5,362.5,352.2
5.332772240679218,439.5,453.5,454.5,425.5,639.5,362.5,352.2
5.366102067183463,440.0,454.0,455.0,426.0,639.5,362.5,352.2
5.399431893687709,440.5,454.5,454.5,425.5,639.5,362.5,352.2
5.432761720191953,442.0,455.0,455.0,426.0,639.5,362.5,352.2
5.466091546696199,441.5,454.5,454.5,425.5,639.5,362.5,352.2
